Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
240,Al Jefferson\jeffeal01,C,33,IND,29,0,13.4,3.1,5.6,.553,0.0,0.0,.000,3.1,5.5,.556,.553,0.6,0.8,.783,0.7,3.0,3.8,0.9,0.4,0.6,0.6,1.8,6.8
241,Richard Jefferson\jefferi01,SF,37,DEN,19,0,8.4,0.6,1.4,.444,0.1,0.4,.286,0.5,1.1,.500,.481,0.2,0.4,.571,0.1,0.7,0.8,0.7,0.1,0.1,0.3,0.6,1.6
242,Brandon Jennings\jennibr01,PG,28,MIL,1,0,24.0,5.0,9.0,.556,3.0,6.0,.500,2.0,3.0,.667,.722,3.0,3.0,1.000,3.0,5.0,8.0,12.0,0.0,0.0,2.0,1.0,16.0
243,Jonas Jerebko\jerebjo01,PF,30,UTA,59,18,15.9,2.1,4.7,.455,0.8,2.1,.405,1.3,2.6,.494,.544,0.7,0.8,.816,0.8,2.6,3.4,0.6,0.4,0.2,0.4,1.8,5.7
244,Amir Johnson\johnsam01,C,30,PHI,59,10,15.4,1.9,3.4,.547,0.1,0.4,.333,1.7,3.1,.572,.565,0.7,1.3,.587,1.7,2.7,4.4,1.3,0.6,0.6,0.8,2.6,4.6
245,Brice Johnson\johnsbr02,PF,23,TOT,16,0,4.6,0.9,2.0,.469,0.0,0.1,.000,0.9,1.9,.484,.469,0.1,0.1,1.000,0.4,1.1,1.6,0.1,0.5,0.2,0.3,0.8,2.0
246,Dakari Johnson\johnsda04,C,22,OKC,28,5,5.4,0.8,1.4,.553,0.0,0.0,,0.8,1.4,.553,.553,0.4,0.6,.556,0.5,0.6,1.1,0.3,0.2,0.3,0.1,0.9,1.9
247,James Johnson\johnsja01,PF,30,MIA,60,28,25.9,4.0,8.1,.491,0.8,2.6,.301,3.2,5.5,.580,.539,1.4,2.0,.678,0.8,3.8,4.6,3.8,0.9,0.6,1.9,2.6,10.1
248,Joe Johnson\johnsjo02,SF,36,TOT,41,3,22.4,2.8,6.7,.415,0.7,2.6,.283,2.0,4.1,.497,.469,0.7,0.8,.875,0.3,2.9,3.2,1.5,0.4,0.1,1.0,1.2,7.0
249,Stanley Johnson\johnsst04,SF,21,DET,53,36,27.7,3.0,7.9,.379,1.0,3.4,.291,2.0,4.5,.445,.442,1.8,2.2,.788,0.5,3.2,3.6,1.6,1.2,0.2,1.1,2.6,8.8
250,Tyler Johnson\johnsty01,PG,25,MIA,58,25,29.1,4.3,10.1,.430,1.7,4.6,.360,2.7,5.5,.489,.512,1.7,2.1,.818,0.5,2.9,3.4,2.3,0.9,0.5,1.1,2.1,12.0
251,Wesley Johnson\johnswe01,SF,30,LAC,59,32,21.6,2.2,5.3,.410,0.8,2.5,.320,1.4,2.7,.494,.487,0.7,0.9,.736,0.4,2.9,3.2,0.9,1.1,1.0,0.9,2.2,5.8
252,Nikola Jokic\jokicni01,C,22,DEN,60,58,31.4,6.2,12.5,.495,1.3,3.5,.380,4.9,9.0,.540,.548,3.5,4.2,.844,2.7,7.8,10.4,6.1,1.1,0.7,2.8,2.7,17.2
253,Damian Jones\jonesda03,C,22,GSW,4,0,2.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.3,0.0,0.3,0.0,0.0,0.3,0.3,1.0,0.0
254,Derrick Jones\jonesde02,SF,20,TOT,17,8,13.6,1.1,2.8,.383,0.1,0.9,.125,0.9,1.8,.516,.404,0.8,1.2,.650,1.1,0.8,1.9,0.5,0.2,0.8,0.4,1.4,3.0
255,Jalen Jones\jonesja04,SF,24,TOT,9,0,5.8,0.6,1.4,.385,0.2,0.4,.500,0.3,1.0,.333,.462,0.4,0.6,.800,0.1,1.4,1.6,0.1,0.1,0.0,0.2,0.7,1.8
256,Tyus Jones\jonesty01,PG,21,MIN,68,10,17.9,1.8,3.9,.466,0.5,1.5,.350,1.3,2.5,.536,.532,0.8,0.9,.900,0.2,1.5,1.7,2.7,1.1,0.1,0.7,1.3,5.0
257,DeAndre Jordan\jordade01,C,29,LAC,60,60,31.9,4.8,7.4,.642,0.0,0.0,,4.8,7.4,.642,.642,2.4,3.9,.615,4.2,11.1,15.3,1.4,0.6,1.0,1.7,2.7,11.9
258,Cory Joseph\josepco01,PG,26,IND,67,14,27.3,3.2,7.4,.431,0.9,2.3,.368,2.3,5.1,.460,.489,0.9,1.2,.738,0.5,2.7,3.3,3.1,1.0,0.2,1.1,1.7,8.1
259,Frank Kaminsky\kaminfr01,PF,24,CHO,64,4,23.2,3.8,9.2,.414,1.3,3.6,.368,2.5,5.6,.443,.486,1.9,2.4,.799,0.6,3.1,3.7,1.6,0.5,0.3,0.8,1.2,10.9
260,Enes Kanter\kanteen01,C,25,NYK,62,62,25.8,6.1,10.1,.605,0.0,0.0,.000,6.1,10.1,.607,.605,2.1,2.4,.865,3.7,7.0,10.8,1.5,0.5,0.6,1.8,2.5,14.3
261,Luke Kennard\kennalu01,SG,21,DET,57,5,18.2,2.4,5.6,.426,1.0,2.4,.416,1.4,3.2,.434,.516,0.7,0.8,.851,0.3,1.8,2.1,1.5,0.6,0.2,0.9,1.0,6.5
262,Michael Kidd-Gilchrist\kiddgmi01,SF,24,CHO,59,59,25.4,4.0,7.8,.512,0.0,0.0,.000,4.0,7.7,.514,.512,1.5,2.2,.682,1.2,3.0,4.2,1.1,0.7,0.4,0.7,1.9,9.5
263,Sean Kilpatrick\kilpase01,SG,28,TOT,41,0,9.8,1.4,4.2,.333,0.6,2.2,.270,0.8,2.1,.400,.402,0.9,0.9,.947,0.0,1.4,1.5,0.8,0.2,0.0,0.6,0.6,4.3
264,Maxi Kleber\klebima01,PF,26,DAL,58,35,16.5,2.0,4.3,.476,0.4,1.6,.283,1.6,2.7,.590,.528,0.5,0.7,.721,1.1,2.0,3.0,0.7,0.4,0.6,0.4,1.7,5.1
